:::
:::
:"ООО ""АРКОклаб"""::
:::
:"Адрес: ,141070,Московская область,Щелковский,Королев,,Гагарина,26,А,
Телефоны: (499) 713-50-96
E-mail: arcoclub@yandex.ru"::
:::
:Прайс-лист::
:12 Декабря 2012 г.::
:::
:Наименование товаров:РОЗНИЦА:
::"(включая НДС,
 без учета НП)":
:BOWFISHING::
:BOWFISHING::
:AMS BOWFISHING KITS B205L-MW:9 986,00 руб.:шт
:AMS PRO MODEL RETRIEVER BOWFISHING KITS 610R-11:5 178,00 руб.:шт
:AMS Retreiver Bowfishing Reel 5391:4 603,00 руб.:шт
:AMS Retreiver Pro Combo Package 2410:8 747,00 руб.:шт
:AMS SAFETY SLIDE 5/16 2pk 4696:423,00 руб.:шт
:AMS SAFETY SLIDE KIT FOR 310# (набор креплений для стрелы 1ШТ) 140 (163):193,00 руб.:шт
:AMS SAFETY SLIDE KIT FOR 310# (набор креплений для стрелы 5ШТ) 140 (163):965,00 руб.:шт
:AMS Sleek X Machined Crossbow Mount 6223:3 355,00 руб.:шт
:BOHNING BOWFISHING KITS G=REEL 1023:2 021,00 руб.:шт
:Bohning Hornet Carbon Fishing Shaft W/Nock&Slide 901005:1 160,00 руб.:шт
:Bohning Raptor Fish Point 901002:501,00 руб.:шт
:Bohning River Fish Point B1016:202,00 руб.:шт
:Cajun Bow Mounted Fishing Light 5470:5 280,00 руб.:шт
:Cajun Fishing Rod & Reel Mount 4693:1 079,00 руб.:шт
:Cajun Garpoon Fish Point 5508:373,00 руб.:шт
:Cajun Lil Stinger 4 Barb Fish Point W/Ferrule 4606:302,00 руб.:шт
:Cajun Little Stinger Fish Point W/Ferrule 4034:281,00 руб.:шт
:Cajun Piranha Long Barb Fish Point 4605:395,00 руб.:шт
:Cajun Reel Seat Aluminum 5470:757,00 руб.:шт
:Cajun Solid Fiberglass Fishing Shaft 4070:186,00 руб.:шт
:Cajun Sting A Ree Bowfishing Kit 4990:4 974,00 руб.:шт
:Cajun Sting A Ree Tournament Point 9353:469,00 руб.:шт
:Cajun Yellow Jacket Arrow W/ Piranha Point 5256:1 095,00 руб.:шт
:Cajun Yellow Jacket Arrow W/ Tournament Point 9354:1 206,00 руб.:шт
:Cajun Yellow Jacket Arrow W/ Warhead Point 5257:1 201,00 руб.:шт
:Cajun Yellow Jacket Fishing Shaft 4304:416,00 руб.:шт
:MARTIN APPLE ROLLER REST 2973 2973:533,00 руб.:шт
:MARTIN BOWFISHING REEL (С КАНИСТРОЙ) 310:926,00 руб.:шт
:MARTIN BOWTON FISH ARROW W/GARP PT (стрела с гарпунным наконечником без оперения) 1798:945,00 руб.:шт
:MARTIN FISH ARROW W/PT (стрела с наконечником и оперением) SGF2:554,00 руб.:шт
:MARTIN PLASTIC BOWFISHING REEL 23:459,00 руб.:шт
:MARTIN RETRACT-O-BLADE GARPOON CHISEL TIP 579 579:381,00 руб.:шт
:MARTIN ОПЕРЕНИЕ ДЛЯ РЫБНЫХ СТРЕЛ (три пера резина) L44:32,00 руб.:шт
:MUZZY Anchor Reel Seat 1063:1 712,00 руб.:шт
:MUZZY Bowfishing Xtreme Kit 4525:6 634,00 руб.:шт
:MUZZY Gator Getter Arrow 3269:1 527,00 руб.:шт
:MUZZY quick release gar point (для рыбы) 3180013:565,00 руб.:шт
:MUZZY Stingray Fish Point 6382:535,00 руб.:шт
:MUZZY XD Bowfishing Reel 3268:3 309,00 руб.:шт
:OMP Light Stryke Bow Fishing Sight 37643:6 452,00 руб.:шт
:OMP Raider Fish Arrow Pink 45379:456,00 руб.:шт
:Papes Fish Arrow W/O Point 4066:838,00 руб.:шт
:Papes The Stinger Fish Arrow W/Stinger Point 6503:502,00 руб.:шт
:SATELLITE FISH POINT DELUXE:355,00 руб.:шт
:Sullivan Innerlock 2 Barb Grapple Point 9617:831,00 руб.:шт
:Sullivan Innerlock 3 Barb Grapple Point 9618:851,00 руб.:шт
:Sullivan Innerlock Gator Grapple Point 9619:981,00 руб.:шт
:Sullivan Innerlock Pro Point Fish Point 2863:478,00 руб.:шт
:The Carp Fish Head 11011:429,00 руб.:шт
:Vison Quest The Gator Fish Head 11012:1 092,00 руб.:шт
:Zebco 808 Bowfishing Reel 868:2 478,00 руб.:шт
:Zebco 808 Magnum Spincast Reel 808:1 765,00 руб.:шт
:SALE::
:Alpine ARROW GRIPPER TENSION PIN SET:80,00 руб.:упак
:BCY TROPHY (маленькая катушка) АРКОклаб:550,00 руб.:шт
:CSS RICHWOOD BOW TUNERZ:850,00 руб.:упак
:EZ BLOWGUN ACCESSORIES DARTS 3X60mm 50 PACK:290,00 руб.:упак
:FFP-300 (пачки по 50 шт):420,00 руб.:упак. 50 штук
:HORTON ARROW CROSSBOW FISH kit (ПО 1 ШТ):750,00 руб.:компл
:"MARTIN 4"" оперение":260,00 руб.:упак. 100 штук
:MARTIN LONG SLEEVE T-SHIRT:400,00 руб.:шт
:MARTIN RINGET T-SHIRT:400,00 руб.:шт
:QUIKTUNE arrowrest silencers:50,00 руб.:упак
:SAUNDERS ADJUST PLATFORM EXPREST 0321 PRO-PLATE:280,00 руб.:шт
:TROPHY RIDGE Nitro Light:450,00 руб.:упак
:Арбалет Excalibur Relayer Y25 АРКОклаб:25 000,00 руб.:шт
:Бегунок тефлоновый SIMS:300,00 руб.:шт
:Вставка в колчан под трубки:20,00 руб.:шт
:Демпфер:100,00 руб.:шт
:Демпфер SAUNDERS 0703:100,00 руб.:шт
:Демпфер Баутек:200,00 руб.:пара
:Лук блочный BOWTECH CONSTITUTION LH:25 000,00 руб.:шт
:Лук блочный HOYT Contender Elite:29 000,00 руб.:шт
:Наклейки SKIN-EEZ 2, 5, 10:900,00 руб.:упак
:Оперение KURLY VANES 45 MM:500,00 руб.:упак. 50 штук
:"Оперение SIMS LIMBSAVER 2"" CAMO 50ШТ":350,00 руб.:упак. 50 штук
:Перчатка BEARPAW  leather bow glove:300,00 руб.:шт
:Полочка ARE MAGNETIC REST:900,00 руб.:шт
:Полочка CARTEL 101191:50,00 руб.:шт
:Полочка G5 Expert Pro Rest RH Camo АРКОклаб:3 000,00 руб.:шт
:Полочка GOLDEN KEY HUNTMASTER 2000 AR-2000 RH:800,00 руб.:шт
:Полочка Octane Hostage Pro АРКОклаб:1 900,00 руб.:шт
:Полочка SPIGA ARROW REST 1062:350,00 руб.:шт
:Полочка Trophy Ridge Original Quick Shot Medium АРКОклаб:1 400,00 руб.:шт
:Полочка Trophy Ridge Revolution RH black АРКОклаб:2 700,00 руб.:шт
:Полочка ААЕ Super FLYTE:500,00 руб.:шт
:Прицел G5 Optix XR2 .019 pinsight RH АРКОклаб:6 400,00 руб.:шт
:Прицел HHA Ultra DS-5019 bow sight RH АРКОклаб:4 900,00 руб.:шт
:Прицел Montana Black Gold Ascent Archery sight 1 pin RH АРКОклаб:3 850,00 руб.:шт
:Прицел Trijicon AccuPin RH АРКОклаб:12 750,00 руб.:шт
:Прицел Trophy Ridge Micro Alpha V5 RH АРКОклаб:6 100,00 руб.:шт
:Прицел Trophy Ridge Micro Alpha V5 RH (без подсветки) АРКОклаб:4 700,00 руб.:шт
:САМОКЛЕЙКА ALLEN 2X10 REALTREE:160,00 руб.:шт
:Слинг BENGTSON BOW SLING NYLON:250,00 руб.:шт
:Слинг GOMPY:80,00 руб.:шт
:"Стабилизатор CSS TUNERZ TUN""N STICK":1 600,00 руб.:шт
:"Стабилизатор Fuse Stabilizer Enduro 5,25"" АРКОклаб":1 100,00 руб.:шт
